net,length_um
u_core0.ROW\[1\].COL\[1\].u_pe.sum_out\[8\],494.355
_00685_,494.26
net147,493.82
net25,493.11
_00753_,492.84
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[11\],492.84
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[5\],491.95
mem0_rdata\[23\],490.895
_11634_,489.81
clknet_5_30__leaf_clk,489.25
mem0_rdata\[29\],489.15
net89,488.885
_10858_,488.345
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[7\],488.14
u_core0.ROW\[7\].COL\[1\].u_pe.sum_out\[2\],487.73
net318,487.5
net171,487.44
_10736_,485.56
_10514_,484.85
_00894_,484.54
net267,484.435
net85,484.43
net123,484.3
_09072_,483.5
clknet_5_20__leaf_clk,483.24
net551,482.79
_00831_,482.78
net39,482.65
_10515_,481.24
clknet_5_31__leaf_clk,480.96
mem_wdata_a\[23\],480.9
net311,480.78
u_core0.ROW\[10\].COL\[0\].u_pe.b_out\[6\],480.64
_21464_,480.04
mem0_rdata\[18\],479.58
u_core0.ROW\[5\].COL\[1\].u_pe.b_out\[4\],479.17
net84,477.72
u_core0.ROW\[14\].COL\[1\].u_pe.sum_out\[10\],477.7
_14014_,477.46
u_core0.A_inputs\[0\],477.13
net175,476.8
_09723_,476.77
_09485_,476.76
_00895_,476.54
u_core0.ROW\[2\].COL\[1\].u_pe.b_out\[4\],476.23
u_core0.ROW\[10\].COL\[1\].u_pe.b_in\[2\],476.14
u_core0.ROW\[29\].COL\[1\].u_pe.b_out\[5\],476.12
u_core0.ROW\[27\].COL\[0\].u_pe.sum_out\[11\],475.54
net239,475
_10443_,474.95
mem_wdata_a\[22\],474.95
_10903_,474.6
_00933_,473.88
net242,473.685
net137,473.66
net115,473.2
net117,472.865
_10462_,472.29
net24,471.68
_15233_,471.54
_11515_,471.39
u_core0.ROW\[2\].COL\[0\].u_pe.b_out\[4\],471.03
net86,470.97
mem_wdata_a\[21\],470.68
_00660_,470.235
net334,469.91
_00782_,469.34
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[6\],468.745
net132,468.09
net82,467.6
net40,467.53
net1038,467
net719,466.82
_21384_,466.68
_11495_,466.6
u_core0.ROW\[5\].COL\[1\].u_pe.sum_out\[10\],466.21
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[6\],466.07
net316,465.98
net156,465.905
u_core0.ROW\[1\].COL\[1\].u_pe.sum_out\[7\],465.84
_23242_,463.71
net22,463.1
net116,463.1
_10651_,463.095
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[7\],463.03
u_core0.ROW\[20\].COL\[0\].u_pe.b_out\[0\],462.395
_10688_,461.99
clknet_5_25__leaf_clk,461.42
_00785_,461.075
_09493_,461.03
_08703_,460.64
_20341_,460.07
_10754_,460.05
_00788_,460.04
u_core0.ROW\[1\].COL\[1\].u_pe.sum_out\[11\],459.74
_22388_,459.58
_22769_,459.38
net225,459.36
_22793_,458.01
_09387_,457.18
_08689_,457.165
_22393_,456.89
_21411_,456.63
mem_wdata_a\[24\],456.08
u_core0.ROW\[1\].COL\[1\].u_pe.sum_out\[9\],454.96
_00893_,454.495
net233,454.22
u_core0.ROW\[29\].COL\[1\].u_pe.b_out\[7\],453.72
_01021_,453.7
_21830_,453.5
net187,453.025
net80,452.92
_08819_,452.84
clknet_5_24__leaf_clk,452.37
u_core0.ROW\[14\].COL\[1\].u_pe.sum_out\[11\],452.2
net41,451.64
net563,451.16
_21611_,450.53
_11485_,450.105
_13260_,449.36
net218,449.24
_00892_,448.2
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[0\],447.98
_09735_,447.5
_10493_,447.25
_00577_,447.11
net320,447.04
_22631_,446.645
_22781_,445.61
_09694_,445.26
u_core0.A_inputs\[129\],444.66
net380,443.96
_10513_,443.43
u_core0.ROW\[10\].COL\[0\].u_pe.b_out\[3\],442.5
net695,442.225
_22890_,441.65
net20,441.46
_20589_,441.11
_00976_,440.94
u_core0.ROW\[26\].COL\[1\].u_pe.b_out\[7\],440.83
_09418_,440.18
clknet_3_4_0_clk,439.79
u_core0.ROW\[6\].COL\[1\].u_pe.b_out\[6\],438.27
_05828_,436.7
u_core0.ROW\[8\].COL\[0\].u_pe.b_out\[6\],435.1
u_core0.ROW\[10\].COL\[0\].u_pe.b_out\[4\],434.88
mem0_rdata\[30\],433.61
_21874_,433.06
net21,432.5
clknet_3_6_0_clk,432.36
_09452_,432.12
_04891_,432.1
_09651_,431.6
net317,431.17
_09480_,430.76
mem_wdata_a\[25\],430.22
_00781_,429.54
net125,429.435
clknet_2_3_0_clk,429.07
u_core0.ROW\[28\].COL\[0\].u_pe.b_out\[6\],428.71
net42,428.64
_08722_,428.02
_05812_,426.6
_16926_,426.305
_10614_,426.04
_00836_,425.92
clknet_3_7_0_clk,425.79
_00594_,425.71
_08920_,425.49
u_core0.ROW\[18\].COL\[1\].u_pe.b_out\[4\],425.49
_09093_,423.9
_22878_,423.37
net88,422.91
u_core0.ROW\[14\].COL\[1\].u_pe.sum_out\[9\],422.55
_22656_,421.97
u_core0.ROW\[18\].COL\[1\].u_pe.b_out\[6\],421.79
u_core0.ROW\[24\].COL\[0\].u_pe.b_out\[5\],421.435
net105,419.84
u_core0.ROW\[29\].COL\[1\].u_pe.b_out\[4\],417.205
_21354_,417.16
_22642_,417.15
_05823_,416.08
u_core0.ROW\[5\].COL\[1\].u_pe.sum_out\[4\],415.86
_08820_,415.24
net103,414.78
_12621_,413.29
_06314_,413.19
u_core0.ROW\[29\].COL\[1\].u_pe.b_out\[3\],413.12
clknet_3_5_0_clk,412.04
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[3\],411.56
_00863_,411.54
_00783_,411.22
_20514_,411
_00751_,410.71
_08691_,410.5
u_core0.ROW\[2\].COL\[0\].u_pe.b_out\[3\],410.38
u_core0.ROW\[20\].COL\[0\].u_pe.b_out\[7\],410.24
u_core0.ROW\[17\].COL\[1\].u_pe.b_out\[7\],410.09
net323,409.93
_11602_,409.7
u_core0.ROW\[14\].COL\[0\].u_pe.sum_out\[12\],409.62
net19,408.64
_00684_,407.68
net546,407.33
_22991_,406.735
u_core0.ROW\[1\].COL\[1\].u_pe.sum_out\[1\],406.58
_00747_,406.4
u_core0.A_inputs\[127\],406.26
net331,405.595
u_core0.ROW\[20\].COL\[0\].u_pe.b_out\[5\],405.49
_22489_,405.11
_22990_,405.06
mem0_rdata\[13\],404.28
u_core0.ROW\[10\].COL\[0\].u_pe.b_out\[0\],404.18
u_core0.ROW\[20\].COL\[0\].u_pe.b_out\[6\],404.15
u_core0.ROW\[1\].COL\[0\].u_pe.b_out\[2\],404.14
_00779_,403.82
_25286_,403.55
net255,402.02
u_core0.A_inputs\[109\],402.01
net598,401.88
clknet_5_1__leaf_clk,401.82
net177,401.52
